id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
11,Caesars Palace II,PS,1998.0,Misc,Interplay,0.14,0.09,0.0,0.02,,,,,,
12,WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,74.0,6.0,5.2,9.0,Yuke's,T
17,Dynasty Warriors 2,PS2,2000.0,Action,THQ,0.24,0.19,0.34,0.06,75.0,17.0,8.8,24.0,Omega Force,T
23,Crysis: Maximum Edition,PC,2009.0,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,,,8.2,11.0,Electronic Arts,M
27,Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.01,75.0,59.0,7.8,26.0,Bigbig Studios,T
32,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,95.0,73.0,9,1658.0,Nintendo,T
35,Suikoden Tactics,PS2,2005.0,Strategy,Konami Digital Entertainment,0.06,0.05,0.07,0.02,68.0,31.0,8.6,17.0,Konami,T
36,Iron Storm,SAT,1995.0,Shooter,Sega,0.0,0.0,0.34,0.0,,,,,,
39,NBA Live 2005,PS2,2004.0,Sports,Electronic Arts,2.03,0.21,0.0,0.35,84.0,21.0,8.1,44.0,EA Canada,E
42,Yu Yu Hakusho: Dark Tournament,PS2,,Fighting,,0.1,0.08,0.0,0.03,56.0,15.0,8.5,18.0,Digital Fiction,T
52,Disney's DuckTales,NES,1989.0,Platform,Capcom,0.91,0.3,0.42,0.04,,,,,,
54,Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,2003.0,Sports,Konami Digital Entertainment,0.0,0.0,0.2,0.0,,,,,,
56,Exist Archive: The Other Side of the Sky,PS4,2015.0,Role-Playing,Aksys Games,0.01,0.0,0.03,0.0,69.0,13.0,7.9,16.0,Tri-Ace,T
57,Tiger Woods PGA Tour 10,PS3,2009.0,Sports,Electronic Arts,0.42,0.25,0.0,0.11,81.0,38.0,7.7,9.0,EA Tiburon,E
64,DiRT Showdown,PS3,2012.0,Racing,Codemasters,0.02,0.12,0.0,0.03,75.0,27.0,6.3,43.0,Codemasters,E10+
68,BlazBlue Central Fiction,PS4,2016.0,Fighting,PQube,0.04,0.0,0.03,0.01,85.0,21.0,7.6,39.0,Arc System Works,T
